method,k,num_ingredients,num_recipes,duration,dataset_md5,pantry_md5,filter_pantry,filter_garnish,make_substitutes
exhaustive,1,1,1,0.0693514347076416,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,2,2,2,0.07436156272888184,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,3,3,3,0.1459641456604004,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,4,4,4,1.5505759716033936,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,5,5,6,8.12572431564331,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,6,6,7,66.82240080833435,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,7,7,8,348.0033495426178,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,8,8,9,1457.1246361732483,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,9,9,10,6657.54762005806,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
exhaustive,10,10,11,16071.812403202057,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,1,1,1,0.001155853271484375,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,2,2,1,0.0011529922485351562,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,3,3,1,0.0011775493621826172,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,4,4,1,0.0011227130889892578,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,5,5,2,0.0010981559753417969,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,6,6,3,0.001077413558959961,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,7,7,4,0.0011823177337646484,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,8,8,4,0.0010995864868164062,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,9,9,6,0.0011744499206542969,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,10,10,6,0.002393484115600586,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,11,11,6,0.0012962818145751953,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
k-MCI,12,12,7,0.0011947154998779297,22755d5eb5759dc1c7c6a7ad69efc089,f013b8f6b12542cc2d4b6d99fc19d368,True,True,True
